"api","safari","chrome","firefox",
"AbstractRange#collapsed","FALSE","FALSE","TRUE",
"AbstractRange#endContainer","FALSE","FALSE","TRUE",
"AbstractRange#endOffset","FALSE","FALSE","TRUE",
"AbstractRange#startContainer","FALSE","FALSE","TRUE",
"AbstractRange#startOffset","FALSE","FALSE","TRUE",
"Accelerometer#x","FALSE","TRUE","FALSE",
"Accelerometer#y","FALSE","TRUE","FALSE",
"Accelerometer#z","FALSE","TRUE","FALSE",
"ApplePayError#code","TRUE","FALSE","FALSE",
"ApplePayError#contactField","TRUE","FALSE","FALSE",
"ApplePayError#message","TRUE","FALSE","FALSE",
"ApplePaySession#abort","TRUE","FALSE","FALSE",
"ApplePaySession#begin","TRUE","FALSE","FALSE",
"ApplePaySession#canMakePayments","TRUE","FALSE","FALSE",
"ApplePaySession#canMakePaymentsWithActiveCard","TRUE","FALSE","FALSE",
"ApplePaySession#completeMerchantValidation","TRUE","FALSE","FALSE",
"ApplePaySession#completePayment","TRUE","FALSE","FALSE",
"ApplePaySession#completePaymentMethodSelection","TRUE","FALSE","FALSE",
"ApplePaySession#completeShippingContactSelection","TRUE","FALSE","FALSE",
"ApplePaySession#completeShippingMethodSelection","TRUE","FALSE","FALSE",
"ApplePaySession#oncancel","TRUE","FALSE","FALSE",
"ApplePaySession#onpaymentauthorized","TRUE","FALSE","FALSE",
"ApplePaySession#onpaymentmethodselected","TRUE","FALSE","FALSE",
"ApplePaySession#onshippingcontactselected","TRUE","FALSE","FALSE",
"ApplePaySession#onshippingmethodselected","TRUE","FALSE","FALSE",
"ApplePaySession#onvalidatemerchant","TRUE","FALSE","FALSE",
"ApplePaySession#openPaymentSetup","TRUE","FALSE","FALSE",
"ApplePaySession#supportsVersion","TRUE","FALSE","FALSE",
"ApplePaySetup#begin","TRUE","FALSE","FALSE",
"ApplePaySetup#getSetupFeatures","TRUE","FALSE","FALSE",
"ApplePaySetupFeature#state","TRUE","FALSE","FALSE",
"ApplePaySetupFeature#supportsInstallments","TRUE","FALSE","FALSE",
"ApplePaySetupFeature#type","TRUE","FALSE","FALSE",
"ApplicationCache#abort","TRUE","FALSE","FALSE",
"applicationCache#mozItems","FALSE","FALSE","TRUE",
"applicationCache#mozLength","FALSE","FALSE","TRUE",
"ApplicationCache#oncached","TRUE","FALSE","FALSE",
"ApplicationCache#onchecking","TRUE","FALSE","FALSE",
"ApplicationCache#ondownloading","TRUE","FALSE","FALSE",
"ApplicationCache#onerror","TRUE","FALSE","FALSE",
"ApplicationCache#onnoupdate","TRUE","FALSE","FALSE",
"ApplicationCache#onobsolete","TRUE","FALSE","FALSE",
"ApplicationCache#onprogress","TRUE","FALSE","FALSE",
"ApplicationCache#onupdateready","TRUE","FALSE","FALSE",
"ApplicationCache#status","TRUE","FALSE","FALSE",
"ApplicationCache#swapCache","TRUE","FALSE","FALSE",
"ApplicationCache#update","TRUE","FALSE","FALSE",
"Atomics#waitAsync","FALSE","TRUE","FALSE",
"Atomics#wake","FALSE","FALSE","TRUE",
"AudioBuffer#gain","TRUE","FALSE","FALSE",
